title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Nowhere in Africa",movie,"Biography, Drama, History",2001,tt0161860,7.5,14453,
"A Shot in the Dark",movie,"Comedy, Crime, Mystery",1964,tt0058586,7.3,32441,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,367978,
"Vivre sa vie",movie,Drama,1962,tt0056663,7.8,36446,
"Jules and Jim",movie,"Drama, Romance",1962,tt0055032,7.7,45849,
"The People vs. Larry Flynt",movie,"Biography, Drama",1996,tt0117318,7.3,103380,
"Free Willy",movie,"Adventure, Drama, Family",1993,tt0106965,6,86081,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334258,
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,408455,
"The Recruit",movie,"Action, Thriller",2003,tt0292506,6.6,144876,
"The Dirty Dozen",movie,"Action, Adventure, War",1967,tt0061578,7.7,81672,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111211,
"Last Days",movie,"Drama, Music",2005,tt0403217,5.7,24328,
Ray,movie,"Biography, Drama, Music",2004,tt0350258,7.7,161309,
Godzilla,movie,"Horror, Sci-Fi",1954,tt0047034,7.6,43059,
"Godzilla Raids Again",movie,"Action, Horror, Sci-Fi",1955,tt0048127,5.7,9097,
"Mothra vs. Godzilla",movie,"Adventure, Fantasy, Sci-Fi",1964,tt0058379,6.5,11095,
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14398,
"Anatomy 2",movie,"Horror, Sci-Fi, Thriller",2003,tt0312358,5.1,4051,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69896,
Giant,movie,"Drama, Western",1956,tt0049261,7.6,43807,
"The Last Metro",movie,"Drama, Romance, War",1980,tt0080610,7.3,16438,
"Santa Fe Trail",movie,"Drama, War, Western",1940,tt0033021,6.2,4341,
"The Soft Skin",movie,"Drama, Romance",1964,tt0058458,7.5,8771,
"Inland Empire",movie,"Drama, Fantasy, Mystery",2006,tt0460829,6.8,66151,
"The Mummy: Tomb of the Dragon Emperor",movie,"Action, Adventure, Fantasy",2008,tt0859163,5.2,175553,
Next,movie,"Action, Sci-Fi, Thriller",2007,tt0435705,6.2,170659,
"Au Revoir les Enfants",movie,"Drama, War",1987,tt0092593,8,37441,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,76071,
Elephant,movie,"Crime, Drama, Thriller",2003,tt0363589,7.1,100551,
"The Devil's Advocate",movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,422984,
"Shoot the Piano Player",movie,"Crime, Drama, Thriller",1960,tt0054389,7.4,21334,
"You, Me and Dupree",movie,"Comedy, Romance",2006,tt0463034,5.6,85635,
